Symbol,Date,Close
HOLX,15/12/2021 16:00:00,77.23
HOLX,16/12/2021 16:00:00,77.92
HOLX,17/12/2021 16:00:00,77.71
HOLX,20/12/2021 16:00:00,77.18
HOLX,21/12/2021 16:00:00,76.14
HOLX,22/12/2021 16:00:00,77.22
HOLX,23/12/2021 16:00:00,76.12
HOLX,27/12/2021 16:00:00,76.85
HOLX,28/12/2021 16:00:00,75.21
HOLX,29/12/2021 16:00:00,75.09
HOLX,30/12/2021 16:00:00,76.62
HOLX,31/12/2021 16:00:00,76.56
HOLX,03/01/2022 16:00:00,73.1
HOLX,04/01/2022 16:00:00,70.43
HOLX,05/01/2022 16:00:00,70.76
HOLX,06/01/2022 16:00:00,70.7
HOLX,07/01/2022 16:00:00,70.31
HOLX,10/01/2022 16:00:00,73.45
HOLX,11/01/2022 16:00:00,72.33
HOLX,12/01/2022 16:00:00,72.14
HOLX,13/01/2022 16:00:00,69.96
HOLX,14/01/2022 16:00:00,69.59
HOLX,18/01/2022 16:00:00,69.41
HOLX,19/01/2022 16:00:00,70.42
HOLX,20/01/2022 16:00:00,69.85
HOLX,21/01/2022 16:00:00,70.63
HOLX,24/01/2022 16:00:00,70.89
HOLX,25/01/2022 16:00:00,70.03
HOLX,26/01/2022 16:00:00,68.22
HOLX,27/01/2022 16:00:00,68.08
HOLX,28/01/2022 16:00:00,70.02
HOLX,31/01/2022 16:00:00,70.24
HOLX,01/02/2022 16:00:00,70.53
HOLX,02/02/2022 16:00:00,72.16
HOLX,03/02/2022 16:00:00,73.36
HOLX,04/02/2022 16:00:00,74.74
HOLX,07/02/2022 16:00:00,73.18
HOLX,08/02/2022 16:00:00,74.04
HOLX,09/02/2022 16:00:00,74.26
HOLX,10/02/2022 16:00:00,73.17
HOLX,11/02/2022 16:00:00,71.99
HOLX,14/02/2022 16:00:00,70.31
HOLX,15/02/2022 16:00:00,70.62
HOLX,16/02/2022 16:00:00,71.04
HOLX,17/02/2022 16:00:00,69.88
HOLX,18/02/2022 16:00:00,70.05
HOLX,22/02/2022 16:00:00,70.53
HOLX,23/02/2022 16:00:00,70.87
HOLX,24/02/2022 16:00:00,71.11
HOLX,25/02/2022 16:00:00,72.39
HOLX,28/02/2022 16:00:00,71.17
HOLX,01/03/2022 16:00:00,70.88
HOLX,02/03/2022 16:00:00,71
HOLX,03/03/2022 16:00:00,70.9
HOLX,04/03/2022 16:00:00,72.22
HOLX,07/03/2022 16:00:00,71.65
HOLX,08/03/2022 16:00:00,69.7
HOLX,09/03/2022 16:00:00,71.16
HOLX,10/03/2022 16:00:00,70.28
HOLX,11/03/2022 16:00:00,69.44
HOLX,14/03/2022 16:00:00,69.59
HOLX,15/03/2022 16:00:00,70.96
HOLX,16/03/2022 16:00:00,72.38
HOLX,17/03/2022 16:00:00,73.9
HOLX,18/03/2022 16:00:00,74.91
HOLX,21/03/2022 16:00:00,75.79
HOLX,22/03/2022 16:00:00,76.16
HOLX,23/03/2022 16:00:00,75.04
HOLX,24/03/2022 16:00:00,75.19
HOLX,25/03/2022 16:00:00,76.05
HOLX,28/03/2022 16:00:00,76
HOLX,29/03/2022 16:00:00,75.92
HOLX,30/03/2022 16:00:00,76.67
HOLX,31/03/2022 16:00:00,76.82
HOLX,01/04/2022 16:00:00,76.93
HOLX,04/04/2022 16:00:00,76.1
HOLX,05/04/2022 16:00:00,77.66
HOLX,06/04/2022 16:00:00,78.34
HOLX,07/04/2022 16:00:00,79.47
HOLX,08/04/2022 16:00:00,79.99
HOLX,11/04/2022 16:00:00,76.52
HOLX,12/04/2022 16:00:00,76.5
HOLX,13/04/2022 16:00:00,76.89
HOLX,14/04/2022 16:00:00,76.33
HOLX,18/04/2022 16:00:00,75.18
HOLX,19/04/2022 16:00:00,76.28
HOLX,20/04/2022 16:00:00,78.18
HOLX,21/04/2022 16:00:00,77.07
HOLX,22/04/2022 16:00:00,73.93
HOLX,25/04/2022 16:00:00,72.73
HOLX,26/04/2022 16:00:00,70.54
HOLX,27/04/2022 16:00:00,70.84
HOLX,28/04/2022 16:00:00,71.4
HOLX,29/04/2022 16:00:00,71.99
HOLX,02/05/2022 16:00:00,72.91
HOLX,03/05/2022 16:00:00,73.13
HOLX,04/05/2022 16:00:00,75.7
HOLX,05/05/2022 16:00:00,74.77
HOLX,06/05/2022 16:00:00,74.11
HOLX,09/05/2022 16:00:00,72.76
HOLX,10/05/2022 16:00:00,73.32
HOLX,11/05/2022 16:00:00,73.49
HOLX,12/05/2022 16:00:00,74.27
HOLX,13/05/2022 16:00:00,76.28
HOLX,16/05/2022 16:00:00,77.22
HOLX,17/05/2022 16:00:00,79.08
HOLX,18/05/2022 16:00:00,77.55
HOLX,19/05/2022 16:00:00,78.12
HOLX,20/05/2022 16:00:00,77.75
HOLX,23/05/2022 16:00:00,78.81
HOLX,24/05/2022 16:00:00,78.39
HOLX,25/05/2022 16:00:00,76
HOLX,26/05/2022 16:00:00,76.19
HOLX,27/05/2022 16:00:00,77.46
HOLX,31/05/2022 16:00:00,75.27
HOLX,01/06/2022 16:00:00,74.65
HOLX,02/06/2022 16:00:00,75.99
HOLX,03/06/2022 16:00:00,75.3
HOLX,06/06/2022 16:00:00,75.13
HOLX,07/06/2022 16:00:00,76.62
HOLX,08/06/2022 16:00:00,75.65
HOLX,09/06/2022 16:00:00,73.68
HOLX,10/06/2022 16:00:00,71.73
HOLX,13/06/2022 16:00:00,68.55
HOLX,14/06/2022 16:00:00,67.87
HOLX,15/06/2022 16:00:00,68.32
HOLX,16/06/2022 16:00:00,67.12
HOLX,17/06/2022 16:00:00,67.88
HOLX,21/06/2022 16:00:00,68.2
HOLX,22/06/2022 16:00:00,68.08
HOLX,23/06/2022 16:00:00,70.55
HOLX,24/06/2022 16:00:00,70.93
HOLX,27/06/2022 16:00:00,71.46
HOLX,28/06/2022 16:00:00,69.78
HOLX,29/06/2022 16:00:00,70.35
HOLX,30/06/2022 16:00:00,69.3
HOLX,01/07/2022 16:00:00,70.14
HOLX,05/07/2022 16:00:00,70.19
HOLX,06/07/2022 16:00:00,70.88
HOLX,07/07/2022 16:00:00,71.78
HOLX,08/07/2022 16:00:00,71.38
HOLX,11/07/2022 16:00:00,71.42
HOLX,12/07/2022 16:00:00,70.68
HOLX,13/07/2022 16:00:00,70.35
HOLX,14/07/2022 16:00:00,69.39
HOLX,15/07/2022 16:00:00,70.59
HOLX,18/07/2022 16:00:00,68.47
HOLX,19/07/2022 16:00:00,70.49
HOLX,20/07/2022 16:00:00,70.11
HOLX,21/07/2022 16:00:00,71.89
HOLX,22/07/2022 16:00:00,70.54
HOLX,25/07/2022 16:00:00,70.26
HOLX,26/07/2022 16:00:00,70.06
HOLX,27/07/2022 16:00:00,70.94
HOLX,28/07/2022 16:00:00,70.78
HOLX,29/07/2022 16:00:00,71.38
HOLX,01/08/2022 16:00:00,70.95
HOLX,02/08/2022 16:00:00,71.47
HOLX,03/08/2022 16:00:00,72.26
HOLX,04/08/2022 16:00:00,71.2
HOLX,05/08/2022 16:00:00,71.4
HOLX,08/08/2022 16:00:00,72.78
HOLX,09/08/2022 16:00:00,71.41
HOLX,10/08/2022 16:00:00,72.24
HOLX,11/08/2022 16:00:00,72.07
HOLX,12/08/2022 16:00:00,72.99
HOLX,15/08/2022 16:00:00,73.47
HOLX,16/08/2022 16:00:00,72.85
HOLX,17/08/2022 16:00:00,71.89
HOLX,18/08/2022 16:00:00,71.58
HOLX,19/08/2022 16:00:00,71.46
HOLX,22/08/2022 16:00:00,69.93
HOLX,23/08/2022 16:00:00,69.44
HOLX,24/08/2022 16:00:00,69.67
HOLX,25/08/2022 16:00:00,71.18
HOLX,26/08/2022 16:00:00,67.71
HOLX,29/08/2022 16:00:00,67.44
HOLX,30/08/2022 16:00:00,67
HOLX,31/08/2022 16:00:00,67.56
HOLX,01/09/2022 16:00:00,68.42
HOLX,02/09/2022 16:00:00,67.52
HOLX,06/09/2022 16:00:00,67.51
HOLX,07/09/2022 16:00:00,67.7
HOLX,08/09/2022 16:00:00,68.87
HOLX,09/09/2022 16:00:00,69.16
HOLX,12/09/2022 16:00:00,69.91
HOLX,13/09/2022 16:00:00,68.02
HOLX,14/09/2022 16:00:00,67.99
HOLX,15/09/2022 16:00:00,67.66
HOLX,16/09/2022 16:00:00,66.82
HOLX,19/09/2022 16:00:00,66.62
HOLX,20/09/2022 16:00:00,64.65
HOLX,21/09/2022 16:00:00,62.89
HOLX,22/09/2022 16:00:00,62.71
HOLX,23/09/2022 16:00:00,62.98
HOLX,26/09/2022 16:00:00,63.66
HOLX,27/09/2022 16:00:00,63.71
HOLX,28/09/2022 16:00:00,65.23
HOLX,29/09/2022 16:00:00,65
HOLX,30/09/2022 16:00:00,64.52
HOLX,03/10/2022 16:00:00,66.12
HOLX,04/10/2022 16:00:00,66.55
HOLX,05/10/2022 16:00:00,66.24
HOLX,06/10/2022 16:00:00,65.79
HOLX,07/10/2022 16:00:00,63.76
HOLX,10/10/2022 16:00:00,61.97
HOLX,11/10/2022 16:00:00,61.95
HOLX,12/10/2022 16:00:00,60.97
HOLX,13/10/2022 16:00:00,63.4
HOLX,14/10/2022 16:00:00,62.55
HOLX,17/10/2022 16:00:00,64.34
HOLX,18/10/2022 16:00:00,63.83
HOLX,19/10/2022 16:00:00,62.17
HOLX,20/10/2022 16:00:00,61.6
HOLX,21/10/2022 16:00:00,62.51
HOLX,24/10/2022 16:00:00,63.6
HOLX,25/10/2022 16:00:00,65.3
HOLX,26/10/2022 16:00:00,66.19
HOLX,27/10/2022 16:00:00,66.18
HOLX,28/10/2022 16:00:00,66.93
HOLX,31/10/2022 16:00:00,67.8
HOLX,01/11/2022 16:00:00,74.13
HOLX,02/11/2022 16:00:00,74.25
HOLX,03/11/2022 16:00:00,73.27
HOLX,04/11/2022 16:00:00,75.23
HOLX,07/11/2022 16:00:00,74.35
HOLX,08/11/2022 16:00:00,73.71
HOLX,09/11/2022 16:00:00,72.11
HOLX,10/11/2022 16:00:00,75
HOLX,11/11/2022 16:00:00,75.93
HOLX,14/11/2022 16:00:00,75.48
HOLX,15/11/2022 16:00:00,74.61
HOLX,16/11/2022 16:00:00,74.3
HOLX,17/11/2022 16:00:00,73.04
HOLX,18/11/2022 16:00:00,73.48
HOLX,21/11/2022 16:00:00,73.56
HOLX,22/11/2022 16:00:00,74.26
HOLX,23/11/2022 16:00:00,74.38
HOLX,25/11/2022 13:05:00,74.93
HOLX,28/11/2022 16:00:00,73.85
HOLX,29/11/2022 16:00:00,74.37
HOLX,30/11/2022 16:00:00,76.16
HOLX,01/12/2022 16:00:00,76.99
HOLX,02/12/2022 16:00:00,76.5
HOLX,05/12/2022 16:00:00,75.11
HOLX,06/12/2022 16:00:00,74.22
HOLX,07/12/2022 16:00:00,73.8
HOLX,08/12/2022 16:00:00,74.8
HOLX,09/12/2022 16:00:00,74
HOLX,12/12/2022 16:00:00,75.15
HOLX,13/12/2022 16:00:00,75.78
HOLX,14/12/2022 16:00:00,75.89
HOLX,15/12/2022 16:00:00,75.01
HOLX,16/12/2022 16:00:00,73.73
HOLX,19/12/2022 16:00:00,73.31
HOLX,20/12/2022 16:00:00,74.1
HOLX,21/12/2022 16:00:00,75.42
HOLX,22/12/2022 16:00:00,75.37
HOLX,23/12/2022 16:00:00,75.51
HOLX,27/12/2022 16:00:00,75.75
HOLX,28/12/2022 16:00:00,74.94
HOLX,29/12/2022 16:00:00,76.1
HOLX,30/12/2022 16:00:00,74.81
